session_id,src_ip,session_start,session_end,duration,cmd_count,unique_cmds,cmd_failed_count,unique_failed_cmds,cmds_per_min,cmd_failed_per_min,cmd_failed_ratio,login_success,login_fail,fails_per_min,unique_users,unique_pass,pw_entropy_per_char,pw_entropy_total,pw_normalized_entropy,pw_length_mean,pw_unique_chars_mean,pw_total_strength,has_successful_login,has_any_commands,has_failed_commands,is_local_src,contains_recon_cmds,contains_install_cmds,contains_nav_cmds,contains_exit_cmd,attack_cluster,pca1,pca2
00035ea9,0,2019-05-13 00:43:41.449767+00:00,2019-05-13 00:43:42.383863+00:00,0.934096,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.112787706501999,-0.4818901126620589
000b10ed,0,2019-05-13 14:50:17.294844+00:00,2019-05-13 14:50:17.558933+00:00,0.264089,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.244954578356272,0.12824980433038918
000bcec0,0,2019-05-13 15:53:21.056118+00:00,2019-05-13 15:53:27.273758+00:00,6.21764,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.270941397610739,-0.3995806033466685
00254d04,0,2019-05-13 02:00:10.497037+00:00,2019-05-13 02:00:11.680215+00:00,1.183178,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.127336390987175,-0.4743183950956574
002b55ce,0,2019-05-13 14:46:18.703995+00:00,2019-05-13 14:46:20.360075+00:00,1.65608,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1508836880351123,-0.46206343947538764
002c7c0f,0,2019-05-13 05:20:25.480305+00:00,2019-05-13 05:20:25.587471+00:00,0.107166,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.260873147353024,0.11996514404873297
003531a8,0,2019-05-13 21:28:15.055830+00:00,2019-05-13 21:28:16.125727+00:00,1.069897,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.120937315200561,-0.4776487301917006
0038da43,0,2019-05-13 02:58:00.253914+00:00,2019-05-13 02:58:00.513512+00:00,0.259598,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.245382011812084,0.1280273508563905
003c85a7,0,2019-05-13 15:27:28.889287+00:00,2019-05-13 15:27:41.199567+00:00,12.31028,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.3444415172938466,-0.3613281999830349
003f1d46,0,2019-05-13 03:57:01.638788+00:00,2019-05-13 03:57:03.538656+00:00,1.899868,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.145236798676809,0.180146927046251
0050dd46,0,2019-05-13 02:58:00.261521+00:00,2019-05-13 02:58:00.515551+00:00,0.25403,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.245914070354752,0.1277504463006568
00533b1f,0,2019-05-13 15:08:24.134080+00:00,2019-05-13 15:08:25.031546+00:00,0.897466,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1104913739534865,-0.483085216007216
00538479,0,2019-05-13 06:45:14.818361+00:00,2019-05-13 06:47:54.988994+00:00,160.170633,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.6439535156191263,-0.20545017119093043
0057f515,0,2019-05-13 11:02:13.530170+00:00,2019-05-13 11:02:14.424871+00:00,0.894701,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.110316240848663,-0.4831763622828537
005cda03,0,2019-05-13 17:53:35.527826+00:00,2019-05-13 17:53:39.723520+00:00,4.195694,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.2314659264258987,-0.4201252181478748
006ca982,0,2019-05-13 22:36:28.773436+00:00,2019-05-13 22:36:28.910156+00:00,0.13672,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.2577094051798925,0.12161168207162275
0070ce11,0,2019-05-13 17:02:13.225274+00:00,2019-05-13 17:02:13.400322+00:00,0.175048,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.2537267546748065,0.12368441275878027
0072609b,0,2019-05-13 07:27:33.873497+00:00,2019-05-13 07:27:35.151446+00:00,1.277949,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.132439756916923,-0.4716623992564857
007490e7,0,2019-05-13 06:56:06.533456+00:00,2019-05-13 06:56:06.628323+00:00,0.094867,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.26221471007981,0.11926694112356949
0075e84e,0,2019-05-13 23:00:03.988647+00:00,2019-05-13 23:00:05.023413+00:00,1.034766,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.118881499874376,-0.4787186587501493
007e46f1,0,2019-05-13 07:34:38.599229+00:00,2019-05-13 07:34:41.321477+00:00,2.722248,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.19141344004071,-0.44097013474839586
00833104,0,2019-05-13 23:12:04.017040+00:00,2019-05-13 23:12:07.714569+00:00,3.697529,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.219360966291183,-0.42642512377755604
00854363,0,2019-05-13 08:58:32.004760+00:00,2019-05-13 08:58:33.042936+00:00,1.038176,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.11908259740787,-0.47861399954687467
008d3ddf,0,2019-05-13 20:30:12.957111+00:00,2019-05-13 20:30:14.060000+00:00,1.102889,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1228364337244288,-0.4766603529193431
0090207b,0,2019-05-13 14:13:48.713437+00:00,2019-05-13 14:13:49.614288+00:00,0.900851,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1107054302808446,-0.48297381252907295
009fc6ea,0,2019-05-13 06:56:06.527411+00:00,2019-05-13 06:56:06.626666+00:00,0.099255,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.2617343499926585,0.11951693973435733
00ad634e,0,2019-05-13 15:27:29.040440+00:00,2019-05-13 15:27:53.700508+00:00,24.660068,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.75,22.0,0.979569764547061,8.0,7.0,33.0,1,0,0,0,0,0,0,0,0,3.0149685309227534,-0.37345714960767334
00af21c1,0,2019-05-13 13:09:04.605479+00:00,2019-05-13 13:09:07.167963+00:00,2.562484,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1861448369834253,-0.443712126600641
00b150a0,0,2019-05-13 14:06:11.030181+00:00,2019-05-13 14:06:11.166691+00:00,0.13651,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.25773159411225,0.12160013406334196
00b3324c,0,2019-05-13 15:24:02.685222+00:00,2019-05-13 15:24:17.082762+00:00,14.39754,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,1.5,6.0,0.9463946303571862,4.0,3.0,11.0,1,0,0,0,0,0,0,0,0,1.6871960456730757,-0.2826265597200727
00b8e47c,0,2019-05-13 10:21:14.685995+00:00,2019-05-13 10:21:15.669154+00:00,0.983159,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1157962441919542,-0.48032434926266526
00c9bab1,0,2019-05-13 10:32:31.421520+00:00,2019-05-13 10:32:54.370380+00:00,22.94886,0,0,0,0,0.0,0.0,0.0,0,21,54.9046879324602,8,16,2.348239461621815,15.727584764094054,0.9866886961702144,6.333333333333333,5.5,24.39425143076072,0,0,0,0,0,0,0,0,2,5.007736050590935,13.147197141498093
00cfecb4,0,2019-05-13 01:25:10.607668+00:00,2019-05-13 01:25:21.749540+00:00,11.141872,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.3334074442583246,-0.36707077311513797
00dc0b57,0,2019-05-13 09:45:51.400399+00:00,2019-05-13 09:45:52.795166+00:00,1.394767,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1384458405067366,-0.46853659302509737
00f21007,0,2019-05-13 02:11:57.068951+00:00,2019-05-13 02:12:03.375072+00:00,6.306121,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.272404709127662,-0.3988190374793839
00f77710,0,2019-05-13 16:09:30.314326+00:00,2019-05-13 16:09:31.580116+00:00,1.26579,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1317970011122935,-0.4719969150968547
00fb2211,0,2019-05-13 08:05:36.459342+00:00,2019-05-13 08:05:37.364890+00:00,0.905548,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1110018226096567,-0.4828195581011279
0102f21b,0,2019-05-13 13:43:05.475394+00:00,2019-05-13 13:43:12.692273+00:00,7.216879,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.2865134059795134,-0.39147630708330955
010a78ce,0,2019-05-13 23:26:00.933730+00:00,2019-05-13 23:26:01.925560+00:00,0.99183,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.11632019972749,-0.4800516618360823
010ad642,0,2019-05-13 10:48:35.133155+00:00,2019-05-13 10:48:35.446189+00:00,0.313034,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.240392256711429,0.13062421907400612
010b4ea7,0,2019-05-13 08:44:52.690047+00:00,2019-05-13 08:44:53.810832+00:00,1.120785,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.12385415456716,-0.4761306902690566
010f456a,0,2019-05-13 06:16:53.942229+00:00,2019-05-13 06:16:54.073010+00:00,0.130781,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.258338516239743,0.12128426750242675
011d9e88,0,2019-05-13 23:23:32.598285+00:00,2019-05-13 23:23:32.716758+00:00,0.118473,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.259652874654586,0.12060022278976822
011f6231,0,2019-05-13 16:17:30.318186+00:00,2019-05-13 16:17:30.659332+00:00,0.341146,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.237848133726083,0.13194828247773532
0130aa17,0,2019-05-13 13:50:13.928237+00:00,2019-05-13 13:50:14.986047+00:00,1.05781,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1202339653643922,-0.4780147815907306
0136f49d,0,2019-05-13 16:56:58.912725+00:00,2019-05-13 16:57:04.664481+00:00,5.751756,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.262927906722081,-0.40375114466204826
01393239,0,2019-05-13 09:07:37.880861+00:00,2019-05-13 09:07:38.705898+00:00,0.825037,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.200849297651785,0.1512039572657631
0155c61c,0,2019-05-13 13:45:20.492720+00:00,2019-05-13 13:45:22.116844+00:00,1.624124,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.149430012430564,-0.462819990428295
0155d8f2,0,2019-05-13 09:38:15.897792+00:00,2019-05-13 09:38:21.189113+00:00,5.291321,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.2544453014355725,-0.4081658318815111
016b3822,0,2019-05-13 02:26:24.933466+00:00,2019-05-13 02:26:26.067188+00:00,1.133722,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.124584530010997,-0.4757505736623762
016d1d56,0,2019-05-13 02:05:46.179687+00:00,2019-05-13 02:05:54.642067+00:00,8.46238,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.303463048977871,-0.3826550346331674
016d2c03,0,2019-05-13 05:36:21.797993+00:00,2019-05-13 05:36:22.884579+00:00,1.086586,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1219017372455418,-0.47714680636849544
0182be43,0,2019-05-13 07:54:21.790596+00:00,2019-05-13 07:54:22.016072+00:00,0.225476,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.248680257000044,0.12631081208249506
018ab3ad,0,2019-05-13 01:33:57.152578+00:00,2019-05-13 01:33:57.271967+00:00,0.119389,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.259554558997715,0.12065139019166903
018ce9c8,0,2019-05-13 02:44:06.889617+00:00,2019-05-13 02:44:08.104232+00:00,1.214615,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.129053406417238,-0.473424791560105
0193f6c0,0,2019-05-13 01:15:36.835455+00:00,2019-05-13 01:15:37.050036+00:00,0.214581,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.249752740546602,0.1257526487298275
0198b2ba,0,2019-05-13 09:14:00.947143+00:00,2019-05-13 09:14:02.134753+00:00,1.18761,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1275799480048865,-0.474191638277795
019b92ad,0,2019-05-13 23:01:28.029172+00:00,2019-05-13 23:01:29.022448+00:00,0.993276,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1164073540484196,-0.48000630324002197
019d824f,0,2019-05-13 18:27:23.060744+00:00,2019-05-13 18:27:24.525584+00:00,1.46484,0,0,0,0,0.0,0.0,0.0,1,0,0.0,1,1,2.321928094887362,11.60964047443681,1.0,5.0,5.0,19.10964047443681,1,0,0,0,0,0,0,0,0,2.1419095395819086,-0.46673394542771984
01a0f4fa,0,2019-05-13 13:11:39.045173+00:00,2019-05-13 13:11:42.023470+00:00,2.978297,0,0,0,0,0.0,0.0,0.0,0,1,20.145740599831235,1,1,2.75,22.0,0.979569764547061,8.0,7.0,33.0,0,0,0,0,0,0,0,0,3,1.947964303393447,5.19989094354535
01a2642d,0,2019-05-13 08:39:09.457042+00:00,2019-05-13 08:39:09.701919+00:00,0.244877,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,-4.246793853829101,0.12729257177639014
